2024-12-01 23:44:21 [info]: GET /api/specie/list 200 - 2ms (::ffff:127.0.0.1)
2024-12-01 23:44:21 [info]: PUT /api/specie/update/670f930a96f295c8503ade12 200 - 7ms (::ffff:127.0.0.1)
2024-12-01 23:44:21 [info]: PUT /api/specie/update/670f930a96f295c8503ade45 200 - 4ms (::ffff:127.0.0.1)
2024-12-01 23:44:21 [info]: PUT /api/specie/update/670f930a96f295c8503ade12d 200 - 1ms (::ffff:127.0.0.1)
2024-12-01 23:44:21 [info]: PUT /api/specie/update/670f930a96f295c8503ade12 200 - 1ms (::ffff:127.0.0.1)
2024-12-01 23:44:21 [info]: POST /api/specie/create 200 - 4ms (::ffff:127.0.0.1)
2024-12-01 23:44:21 [info]: POST /api/specie/create 200 - 3ms (::ffff:127.0.0.1)
2024-12-01 23:44:21 [info]: POST /api/specie/create 200 - 2ms (::ffff:127.0.0.1)
2024-12-01 23:44:21 [info]: POST /api/specie/create 200 - 1ms (::ffff:127.0.0.1)
2024-12-01 23:44:21 [info]: DELETE /api/specie/delete/672d3811d845bd7eb8414211 200 - 3ms (::ffff:127.0.0.1)
2024-12-01 23:44:21 [info]: DELETE /api/specie/delete/672d3811d845bd7eb8414220 200 - 2ms (::ffff:127.0.0.1)
2024-12-01 23:44:21 [info]: PUT /api/specie/update/670f930a96f295c8503ade12dss 200 - 1ms (::ffff:127.0.0.1)
2024-12-01 23:44:21 [info]: DELETE /api/specie/delete/672d3811d845bd7eb8414220 200 - 1ms (::ffff:127.0.0.1)
2024-12-01 23:44:22 [info]: POST /api/user/login 200 - 306ms (::ffff:127.0.0.1)
2024-12-01 23:44:22 [info]: GET /api/user/user/670f930a96f295c8503ade12 200 - 2ms (::ffff:127.0.0.1)
2024-12-01 23:44:22 [info]: GET /api/user/user/670f930a96f295c8503ade1e 200 - 2ms (::ffff:127.0.0.1)
2024-12-01 23:44:22 [info]: GET /api/user/user/670f930a96f295c8503ade12d 200 - 1ms (::ffff:127.0.0.1)
2024-12-01 23:44:22 [info]: GET /api/user/user/670f930a96f295c8503ade12 200 - 2ms (::ffff:127.0.0.1)
2024-12-01 23:44:22 [info]: GET /api/user/list 200 - 5ms (::ffff:127.0.0.1)
2024-12-01 23:44:22 [info]: GET /api/user/list 200 - 2ms (::ffff:127.0.0.1)
2024-12-01 23:44:22 [info]: GET /api/user/list 200 - 1ms (::ffff:127.0.0.1)
2024-12-01 23:44:22 [info]: POST /api/user/login 200 - 293ms (::ffff:127.0.0.1)
2024-12-01 23:44:22 [info]: PUT /api/user/update/672d3811d845bd7eb8414810 200 - 9ms (::ffff:127.0.0.1)
2024-12-01 23:44:22 [info]: PUT /api/user/update/672d3811d845bd7eb8414810 200 - 1ms (::ffff:127.0.0.1)
2024-12-01 23:44:22 [info]: PUT /api/user/update/670f930a96f295c8503ade12d 200 - 0ms (::ffff:127.0.0.1)
2024-12-01 23:44:22 [info]: PUT /api/user/update/672d3811d845bd7eb8414810 200 - 2ms (::ffff:127.0.0.1)
2024-12-01 23:44:23 [info]: POST /api/user/register 200 - 300ms (::ffff:127.0.0.1)
2024-12-01 23:44:23 [info]: POST /api/user/register 200 - 3ms (::ffff:127.0.0.1)
2024-12-01 23:44:23 [info]: POST /api/user/register 200 - 0ms (::ffff:127.0.0.1)
2024-12-01 23:44:23 [info]: POST /api/user/register 200 - 2ms (::ffff:127.0.0.1)
2024-12-01 23:44:23 [info]: DELETE /api/user/delete/672d3811d845bd7eb8414211 200 - 5ms (::ffff:127.0.0.1)
2024-12-01 23:44:23 [info]: DELETE /api/user/delete/672d3811d845bd7eb8414220 200 - 2ms (::ffff:127.0.0.1)
2024-12-01 23:44:23 [info]: PUT /api/user/update/670f930a96f295c8503ade12dss 200 - 0ms (::ffff:127.0.0.1)
2024-12-01 23:44:23 [info]: DELETE /api/user/delete/672d3811d845bd7eb8414220 200 - 1ms (::ffff:127.0.0.1)
2024-12-01 23:44:23 [info]: POST /api/user/login/ 200 - 301ms (::ffff:127.0.0.1)
